name,id,nametype,recclass,mass,year,reclat,reclong,coordinates
Farmville,10075,Valid,H4,0.0,1934-01-01,35.55,-77.53333,"[0, 0]"
Favars,10078,Valid,H5,0.0,1844-01-01,44.38333,2.81667,"[0, 0]"
Fayetteville,10079,Valid,H4,0.0,1934-01-01,36.05,-94.16667,"[0, 0]"
Feid Chair,10080,Valid,H4,0.0,1875-01-01,36.88333,8.45,"[0, 0]"
Felix,10081,Valid,CO3.3,0.0,1900-01-01,32.53333,-87.16667,"[0, 0]"
Fenghsien-Ku,10086,Valid,H5,0.0,1924-01-01,34.6,116.75,"[0, 0]"
Ferguson,10088,Valid,OC,0.0,1889-01-01,36.1,-81.41667,"[0, 0]"
Fermo,10091,Valid,H3-5,0.0,1996-01-01,43.18111,13.75333,"[0, 0]"
Fisher,10107,Valid,L6,0.0,1894-01-01,47.81667,-96.85,"[0, 0]"
Florence,10111,Valid,H3,0.0,1922-01-01,30.83333,-97.76667,"[0, 0]"
Forest City,10119,Valid,H5,0.0,1890-01-01,43.25,-93.66667,"[0, 0]"
Forest Vale,10120,Valid,H4,0.0,1942-01-01,-33.35,146.85833,"[0, 0]"
Forksville,10123,Valid,L6,0.0,1924-01-01,36.78333,-78.08333,"[0, 0]"
Forsbach,10163,Valid,H6,0.0,1900-01-01,50.95,7.31667,"[0, 0]"
Forsyth,10164,Valid,L6,0.0,1829-01-01,33.01667,-83.96667,"[0, 0]"
Fort Flatters,10166,Valid,Stone-uncl,0.0,1944-01-01,28.25,7.0,"[0, 0]"
Frankfort (stone),10177,Valid,Howardite,0.0,1868-01-01,34.48333,-87.83333,"[0, 0]"
Fuhe,52412,Valid,L5,0.0,1945-01-01,31.47556,113.56694,"[0, 0]"
Fukutomi,10836,Valid,L5,0.0,1882-01-01,33.18333,130.2,"[0, 0]"
Fünen,10838,Valid,Stone-uncl,0.0,,55.33333,10.33333,"[0, 0]"
Futtehpur,10839,Valid,L6,0.0,1822-01-01,25.95,80.81667,"[0, 0]"
Fuyang,10840,Valid,Stone-uncl,0.0,1977-01-01,32.9,115.9,"[0, 0]"
Galapian,10846,Valid,H6,0.0,1826-01-01,44.3,0.4,"[0, 0]"
Galim (a),10848,Valid,LL6,0.0,1952-01-01,7.05,12.43333,"[0, 0]"
Galim (b),10849,Valid,EH3/4-an,0.0,1952-01-01,7.05,12.43333,"[0, 0]"
Galkiv,10850,Valid,H4,0.0,1995-01-01,51.68333,30.78333,"[0, 0]"
Gambat,10851,Valid,L6,0.0,1897-01-01,27.35,68.53333,"[0, 0]"
Gao-Guenie,10854,Valid,H5,0.0,1960-01-01,11.65,-2.18333,"[0, 0]"
Garhi Yasin,10860,Valid,"Iron, IIE",0.0,1917-01-01,27.88333,68.53333,"[0, 0]"
Garland,10861,Valid,Diogenite-pm,0.0,1950-01-01,41.68333,-112.13333,"[0, 0]"
Gashua,44882,Valid,L6,0.0,1984-01-01,12.85,11.03333,"[0, 0]"
Gasseltepaoua,10866,Valid,H5,0.0,2000-01-01,14.15083,-2.04167,"[0, 0]"
Geidam,10870,Valid,H5,0.0,1950-01-01,12.91667,11.91667,"[0, 0]"
Gifu,10914,Valid,L6,0.0,1909-01-01,35.53333,136.88333,"[0, 0]"
Girgenti,10917,Valid,L6,0.0,1853-01-01,37.31667,13.56667,"[0, 0]"
Git-Git,10919,Valid,L6,0.0,1947-01-01,9.6,9.91667,"[0, 0]"
Glanerbrug,10923,Valid,L/LL5,0.0,1990-01-01,52.2,6.86667,"[0, 0]"
Glanggang,10924,Valid,H5-6,0.0,1939-01-01,-7.25,107.7,"[0, 0]"
Glasatovo,10926,Valid,H4,0.0,1918-01-01,57.35,37.61667,"[0, 0]"
Glatton,10930,Valid,L6,0.0,1991-01-01,52.45972,-0.3,"[0, 0]"
Gnadenfrei,10936,Valid,H5,0.0,1879-01-01,50.66667,16.76667,"[0, 0]"
Gopalpur,10948,Valid,H6,0.0,1865-01-01,24.23333,89.05,"[0, 0]"
Gorlovka,10949,Valid,H3.7,0.0,1974-01-01,48.28333,38.08333,"[0, 0]"
Granes,10956,Valid,L6,0.0,1964-01-01,42.9,2.25,"[0, 0]"
Grefsheim,11196,Valid,L5,0.0,1976-01-01,60.66667,11.0,"[0, 0]"
Grimsby,50911,Valid,H5,0.0,2009-01-01,43.2,-79.61667,"[0, 0]"
Grosnaja,11206,Valid,CV3,0.0,1861-01-01,43.66667,45.38333,"[0, 0]"
Gross-Divina,11207,Valid,H5,0.0,1837-01-01,49.26667,18.71667,"[0, 0]"
Grossliebenthal,11208,Valid,L6,0.0,1881-01-01,46.35,30.58333,"[0, 0]"
Grüneberg,11426,Valid,H4,0.0,1841-01-01,51.93333,15.5,"[0, 0]"
Grzempach,11429,Valid,H5,0.0,1910-01-01,52.86667,16.63333,"[0, 0]"
Gualeguaychú,11432,Valid,H6,0.0,1932-01-01,-33.0,-58.61667,"[0, 0]"
Guangmingshan,11435,Valid,H5,0.0,1996-01-01,39.80417,122.76389,"[0, 0]"
Guangnan,11436,Valid,L6,0.0,1983-01-01,24.1,105.0,"[0, 0]"
Guangrao,11437,Valid,L6,0.0,1980-01-01,37.1,118.4,"[0, 0]"
Guareña,11439,Valid,H6,0.0,1892-01-01,38.73333,-6.01667,"[0, 0]"
Guêa,11440,Valid,Stone-uncl,0.0,1891-01-01,43.76667,20.23333,"[0, 0]"
Guibga,11442,Valid,L5,0.0,1972-01-01,13.5,-0.68333,"[0, 0]"
Guidder,11443,Valid,LL5,0.0,1949-01-01,9.91667,13.98333,"[0, 0]"
Gujargaon,11448,Valid,H5,0.0,1982-01-01,22.98333,76.05,"[0, 0]"
Gujba,11449,Valid,CBa,0.0,1984-01-01,11.49167,11.65833,"[0, 0]"
Gumoschnik,11450,Valid,H5,0.0,1904-01-01,42.9,24.7,"[0, 0]"
Gurram Konda,11464,Valid,L6,0.0,1814-01-01,13.78333,78.56667,"[0, 0]"
Gursum,11465,Valid,H4/5,0.0,1981-01-01,9.36667,42.41667,"[0, 0]"
Gütersloh,11466,Valid,H3/4,0.0,1851-01-01,51.91667,8.38333,"[0, 0]"
Gyokukei,11467,Valid,OC,0.0,1930-01-01,35.0,127.5,"[0, 0]"
Hachi-oji,11468,Valid,H?,0.0,1817-01-01,35.65,139.33333,"[0, 0]"
Hainaut,11472,Valid,H3-6,0.0,1934-01-01,50.31667,3.73333,"[0, 0]"
Hallingeberg,11479,Valid,L3.4,0.0,1944-01-01,57.81667,16.23333,"[0, 0]"
Hamlet,11485,Valid,LL4,0.0,1959-01-01,41.38333,-86.6,"[0, 0]"
Haraiya,11824,Valid,Eucrite-mmict,0.0,1878-01-01,26.8,82.53333,"[0, 0]"
Haripura,11829,Valid,CM2,0.0,1921-01-01,28.38333,75.78333,"[0, 0]"
Harleton,11830,Valid,L6,0.0,1961-01-01,32.675,-94.51167,"[0, 0]"
Harrison County,11842,Valid,L6,0.0,1859-01-01,38.25,-86.16667,"[0, 0]"
Hashima,11848,Valid,H4,0.0,1910-01-01,35.2945,136.70033,"[0, 0]"
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",0.0,1890-01-01,28.95,0.81667,"[0, 0]"
Hatford,11855,Valid,Stone-uncl,0.0,,51.65,-1.51667,"[0, 0]"
Haverö,11859,Valid,Ureilite,0.0,1971-01-01,60.24556,22.06194,"[0, 0]"
Hedeskoga,11869,Valid,H5,0.0,1922-01-01,55.46667,13.78333,"[0, 0]"
Hedjaz,11870,Valid,L3.7-6,0.0,1910-01-01,27.33333,35.66667,"[0, 0]"
Heredia,11875,Valid,H5,0.0,1857-01-01,10.0,-84.1,"[0, 0]"
Hessle,11878,Valid,H5,0.0,1869-01-01,59.85,17.66667,"[0, 0]"
Higashi-koen,11883,Valid,H5,0.0,1897-01-01,33.6,130.43333,"[0, 0]"
High Possil,11884,Valid,L6,0.0,1804-01-01,55.9,-4.23333,"[0, 0]"
Hiroshima,11889,Valid,H5,0.0,2003-01-01,34.45,132.38333,"[0, 0]"
Hoima,44714,Valid,H6,0.0,2003-01-01,1.345,31.47278,"[0, 0]"
Hökmark,11893,Valid,L4,0.0,1954-01-01,64.43333,21.2,"[0, 0]"
Holbrook,11894,Valid,L/LL6,0.0,1912-01-01,34.9,-110.18333,"[0, 0]"
Holetta,11895,Valid,Stone-uncl,0.0,1923-01-01,9.06667,38.41667,"[0, 0]"
Homestead,11901,Valid,L5,0.0,1875-01-01,41.8,-91.86667,"[0, 0]"
Honolulu,11904,Valid,L5,0.0,1825-01-01,21.3,-157.86667,"[0, 0]"
Hotse,11913,Valid,L6,0.0,1956-01-01,35.66667,115.5,"[0, 0]"
Hoxie,11915,Valid,OC,0.0,1963-01-01,39.35,-100.45,"[0, 0]"
Hraschina,11916,Valid,"Iron, IID",0.0,1751-01-01,46.1,16.33333,"[0, 0]"
Huaxi,54719,Valid,H5,0.0,2010-01-01,26.46469,106.63241,"[0, 0]"
Hungen,11986,Valid,H6,0.0,1877-01-01,50.3,8.91667,"[0, 0]"
Hvittis,11989,Valid,EL6,0.0,1901-01-01,61.18333,22.68333,"[0, 0]"
Ibbenbüren,11992,Valid,Diogenite,0.0,1870-01-01,52.28333,7.7,"[0, 0]"
Ibitira,11993,Valid,Eucrite-mmict,0.0,1957-01-01,-20.0,-45.0,"[0, 0]"
Ibrisim,11994,Valid,OC,0.0,1949-01-01,38.0,35.0,"[0, 0]"
Ichkala,11995,Valid,H6,0.0,1936-01-01,58.2,82.93333,"[0, 0]"
Idutywa,12000,Valid,H5,0.0,1956-01-01,-32.1,28.33333,"[0, 0]"
Iguaracu,12003,Valid,H5,0.0,1977-01-01,-23.2,-51.83333,"[0, 0]"
Ijopega,12004,Valid,H6,0.0,1975-01-01,-6.03333,145.36667,"[0, 0]"
Indarch,12027,Valid,EH4,0.0,1891-01-01,39.75,46.66667,"[0, 0]"
Independence,12028,Valid,L6,0.0,1917-01-01,39.08333,-94.4,"[0, 0]"
Inner Mongolia,12037,Valid,L6,0.0,1963-01-01,41.0,112.0,"[0, 0]"
Innisfree,12039,Valid,L5,0.0,1977-01-01,53.415,-111.3375,"[0, 0]"
Ipiranga,12043,Valid,H6,0.0,1972-01-01,-25.5,-54.5,"[0, 0]"
Ishinga,12049,Valid,H,0.0,1954-01-01,-8.93333,33.8,"[0, 0]"
Isthilart,12053,Valid,H5,0.0,1928-01-01,-31.18333,-57.95,"[0, 0]"
Itapicuru-Mirim,12056,Valid,H5,0.0,1879-01-01,-3.4,-44.33333,"[0, 0]"
Itqiy,12058,Valid,EH7-an,0.0,1990-01-01,26.59083,-12.95217,"[0, 0]"
Ivuna,12063,Valid,CI1,0.0,1938-01-01,-8.41667,32.43333,"[0, 0]"
Jackalsfontein,12065,Valid,L6,0.0,1903-01-01,-32.5,21.9,"[0, 0]"
Jajh deh Kot Lalu,12067,Valid,EL6,0.0,1926-01-01,26.75,68.41667,"[0, 0]"
Jalanash,12068,Valid,Ureilite,0.0,1990-01-01,0.0,0.0,"[0, 0]"
Jalandhar,12069,Valid,Iron,0.0,,31.0,75.0,"[0, 0]"
Jamkheir,12072,Valid,H6,0.0,1866-01-01,18.75,75.33333,"[0, 0]"
Jartai,12074,Valid,L6,0.0,1979-01-01,39.7,105.8,"[0, 0]"
Jelica,12078,Valid,LL6,0.0,1889-01-01,43.83333,20.44167,"[0, 0]"
Jemlapur,12079,Valid,L6,0.0,1901-01-01,0.0,0.0,"[0, 0]"
Jesenice,51589,Valid,L6,0.0,2009-01-01,46.42137,14.05217,"[0, 0]"
Jhung,12085,Valid,L5,0.0,1873-01-01,31.3,72.38333,"[0, 0]"
Jiange,12086,Valid,H5,0.0,1964-01-01,31.91667,104.91667,"[0, 0]"
Jianshi,12087,Valid,"Iron, IIIAB",0.0,1890-01-01,30.80833,109.5,"[0, 0]"
Jilin,12171,Valid,H5,0.0,1976-01-01,44.05,126.16667,"[0, 0]"
Jodiya,47362,Valid,L5,0.0,2006-01-01,22.68,70.31333,"[0, 0]"
Jodzie,12173,Valid,Howardite,0.0,1877-01-01,55.7,24.4,"[0, 0]"
Johnstown,12198,Valid,Diogenite,0.0,1924-01-01,40.35,-104.9,"[0, 0]"
Jolomba,12199,Valid,LL6,0.0,1974-01-01,-11.85,15.83333,"[0, 0]"
Jonzac,12202,Valid,Eucrite-mmict,0.0,1819-01-01,45.43333,-0.45,"[0, 0]"
Juancheng,12203,Valid,H5,0.0,1997-01-01,35.5,115.41667,"[0, 0]"
Judesegeri,12207,Valid,H6,0.0,1876-01-01,12.85,76.8,"[0, 0]"
Jumapalo,12209,Valid,L6,0.0,1984-01-01,-7.71667,111.2,"[0, 0]"
Junan,12210,Valid,L6,0.0,1976-01-01,35.2,118.8,"[0, 0]"
Juromenha,12213,Valid,"Iron, IIIAB",0.0,1968-01-01,38.74028,-7.27,"[0, 0]"
Juvinas,12214,Valid,Eucrite-mmict,0.0,1821-01-01,44.71667,4.3,"[0, 0]"
Kaba,12218,Valid,CV3,0.0,1857-01-01,47.35,21.3,"[0, 0]"
Kabo,12220,Valid,H4,0.0,1971-01-01,11.85,8.21667,"[0, 0]"
Kadonah,12221,Valid,H6,0.0,1822-01-01,27.08333,78.33333,"[0, 0]"
Kaee,12222,Valid,H5,0.0,1838-01-01,27.25,79.96667,"[0, 0]"
Kagarlyk,12227,Valid,L6,0.0,1908-01-01,49.86667,30.83333,"[0, 0]"
Kaidun,12228,Valid,CR2,0.0,1980-01-01,15.0,48.3,"[0, 0]"
Kainsaz,12229,Valid,CO3.2,0.0,1937-01-01,55.43333,53.25,"[0, 0]"
Kakangari,12230,Valid,K3,0.0,1890-01-01,12.38333,78.51667,"[0, 0]"
Kakowa,12231,Valid,L6,0.0,1858-01-01,45.13333,21.66667,"[0, 0]"
Kalaba,12232,Valid,H4,0.0,1951-01-01,-6.83333,29.5,"[0, 0]"
Kalumbi,12236,Valid,L6,0.0,1879-01-01,17.83333,73.98333,"[0, 0]"
Kamalpur,12238,Valid,L6,0.0,1942-01-01,26.03333,81.46667,"[0, 0]"
Kamiomi,12240,Valid,H5,0.0,1913-01-01,36.04167,139.95667,"[0, 0]"
Kamsagar,12241,Valid,L6,0.0,1902-01-01,14.18333,75.8,"[0, 0]"
Kandahar (Afghanistan),12243,Valid,L6,0.0,1959-01-01,31.6,65.78333,"[0, 0]"
Kangean,12245,Valid,H5,0.0,1908-01-01,-7.0,115.5,"[0, 0]"
Kangra Valley,12246,Valid,H5,0.0,1897-01-01,32.08333,76.3,"[0, 0]"
Kapoeta,12251,Valid,Howardite,0.0,1942-01-01,4.7,33.63333,"[0, 0]"
Kaprada,47357,Valid,L5/6,0.0,2004-01-01,20.33916,73.22329,"[0, 0]"
Kaptal-Aryk,12253,Valid,L6,0.0,1937-01-01,42.45,73.36667,"[0, 0]"
Karakol,12256,Valid,LL6,0.0,1840-01-01,47.21667,81.01667,"[0, 0]"
Karatu,12258,Valid,LL6,0.0,1963-01-01,-3.5,35.58333,"[0, 0]"
Karewar,12260,Valid,L6,0.0,1949-01-01,12.9,7.15,"[0, 0]"
Karkh,12262,Valid,L6,0.0,1905-01-01,27.8,67.16667,"[0, 0]"
Karloowala,12263,Valid,L6,0.0,1955-01-01,31.58333,71.6,"[0, 0]"
Karoonda,12264,Valid,CK4,0.0,1930-01-01,-35.08333,139.91667,"[0, 0]"
Kasamatsu,12266,Valid,H,0.0,1938-01-01,35.36667,136.76667,"[0, 0]"
Kasauli,30740,Valid,H4,0.0,2003-01-01,29.58333,77.58333,"[0, 0]"
Katagum,35465,Valid,L6,0.0,1999-01-01,11.33333,10.08333,"[0, 0]"
Kavarpura,47351,Valid,"Iron, IIE-an",0.0,2006-01-01,25.14333,75.81333,"[0, 0]"
Kayakent,12268,Valid,"Iron, IIIAB",0.0,1961-01-01,39.26333,31.78,"[0, 0]"
Kediri,12270,Valid,L4,0.0,1940-01-01,-7.75,112.01667,"[0, 0]"
Kemer,53654,Valid,L4,0.0,2008-01-01,36.54194,29.41822,"[0, 0]"
Kendleton,12275,Valid,L4,0.0,1939-01-01,29.45,-96.0,"[0, 0]"
Kendrapara,12276,Valid,H4-5,0.0,2003-01-01,20.4625,86.70278,"[0, 0]"
Kerilis,12282,Valid,H5,0.0,1874-01-01,48.4,-3.3,"[0, 0]"
Kernouve,12284,Valid,H6,0.0,1869-01-01,48.11667,-3.08333,"[0, 0]"
Kesen,12286,Valid,H4,0.0,1850-01-01,38.98333,141.61667,"[0, 0]"
Khairpur,12288,Valid,EL6,0.0,1873-01-01,29.53333,72.3,"[0, 0]"
Khanpur,12289,Valid,LL5,0.0,1932-01-01,25.55,83.11667,"[0, 0]"
Kharkov,12291,Valid,L6,0.0,1787-01-01,50.625,35.075,"[0, 0]"
Kheragur,12294,Valid,L6,0.0,1860-01-01,26.95,77.88333,"[0, 0]"
Khetri,12296,Valid,H6,0.0,1867-01-01,28.01667,75.81667,"[0, 0]"
Khmelevka,12297,Valid,L5,0.0,1929-01-01,56.75,75.33333,"[0, 0]"
Khohar,12298,Valid,L3.6,0.0,1910-01-01,25.1,81.53333,"[0, 0]"
Khor Temiki,12299,Valid,Aubrite,0.0,1932-01-01,16.0,36.0,"[0, 0]"
Kidairat,12300,Valid,H6,0.0,1983-01-01,14.0,28.0,"[0, 0]"
Kiel,12301,Valid,L6,0.0,1962-01-01,54.4,10.15,"[0, 0]"
Kiffa,12303,Valid,H5,0.0,1970-01-01,16.58333,-11.33333,"[0, 0]"
Kijima (1906),12305,Valid,Stone-uncl,0.0,1906-01-01,36.85,138.38333,"[0, 0]"
Kikino,12306,Valid,H6,0.0,1809-01-01,55.0,34.0,"[0, 0]"
Kilabo,12307,Valid,LL6,0.0,2002-01-01,12.76667,9.8,"[0, 0]"
Kilbourn,12308,Valid,H5,0.0,1911-01-01,43.58333,-89.6,"[0, 0]"
Killeter,12309,Valid,H6,0.0,1844-01-01,54.66667,-7.66667,"[0, 0]"
Kingai,12316,Valid,H6,0.0,1967-01-01,11.63333,24.68333,"[0, 0]"
Kirbyville,12321,Valid,Eucrite-mmict,0.0,1906-01-01,30.75,-95.95,"[0, 0]"
Kisvarsány,12325,Valid,L6,0.0,1914-01-01,48.16667,22.30833,"[0, 0]"
Kitchener,12326,Valid,L6,0.0,1998-01-01,43.38333,-80.38333,"[0, 0]"
Klein-Wenden,12332,Valid,H6,0.0,1843-01-01,51.6,10.8,"[0, 0]"
Knyahinya,12335,Valid,L/LL5,0.0,1866-01-01,48.9,22.4,"[0, 0]"
Kobe,12336,Valid,CK4,0.0,1999-01-01,34.73333,135.16667,"[0, 0]"
Kokubunji,12342,Valid,L6,0.0,1986-01-01,34.3,133.95,"[0, 0]"
Komagome,12343,Valid,Iron,0.0,1926-01-01,35.73333,139.75,"[0, 0]"
Konovo,12344,Valid,LL5,0.0,1931-01-01,42.51667,26.16667,"[0, 0]"
Košice,53810,Valid,H5,0.0,2010-01-01,48.76367,21.17633,"[0, 0]"
Krähenberg,12353,Valid,LL5,0.0,1869-01-01,49.32694,7.46472,"[0, 0]"
Krasnoi-Ugol,12355,Valid,L6,0.0,1829-01-01,54.03333,40.9,"[0, 0]"
Krasnyi Klyuch,12357,Valid,H5,0.0,1946-01-01,54.33333,56.08333,"[0, 0]"
Krutikha,12363,Valid,OC,0.0,1906-01-01,56.8,77.0,"[0, 0]"
Krymka,12364,Valid,LL3.2,0.0,1946-01-01,47.83333,30.76667,"[0, 0]"
Kukschin,12368,Valid,L6,0.0,1938-01-01,51.15,31.7,"[0, 0]"
Kulak,12369,Valid,L5,0.0,1961-01-01,30.73111,66.80222,"[0, 0]"
Kuleschovka,12370,Valid,L6,0.0,1811-01-01,50.75,33.5,"[0, 0]"
Kulp,12373,Valid,H6,0.0,1906-01-01,41.11667,45.0,"[0, 0]"
Kunashak,12377,Valid,L6,0.0,1949-01-01,55.78333,61.36667,"[0, 0]"
Kunya-Urgench,12379,Valid,H5,0.0,1998-01-01,42.25,59.2,"[0, 0]"
Kushiike,12381,Valid,OC,0.0,1920-01-01,37.05,138.38333,"[0, 0]"
Kusiali,12382,Valid,L6,0.0,1860-01-01,29.68333,78.38333,"[0, 0]"
Kutais,12383,Valid,H5,0.0,1977-01-01,44.51667,39.3,"[0, 0]"
Kuttippuram,12384,Valid,L6,0.0,1914-01-01,10.83333,76.03333,"[0, 0]"
Kuznetzovo,12385,Valid,L6,0.0,1932-01-01,55.2,75.33333,"[0, 0]"
Kyushu,12390,Valid,L6,0.0,1886-01-01,32.03333,130.63333,"[0, 0]"
La Bécasse,12392,Valid,L6,0.0,1879-01-01,47.08333,1.75,"[0, 0]"
La Charca,12394,Valid,OC,0.0,1878-01-01,20.66667,-101.28333,"[0, 0]"
La Colina,12395,Valid,H5,0.0,1924-01-01,-37.33333,-61.53333,"[0, 0]"
La Criolla,12396,Valid,L6,0.0,1985-01-01,-31.23333,-58.16667,"[0, 0]"
Laborel,12408,Valid,H5,0.0,1871-01-01,44.28333,5.58333,"[0, 0]"
Lahrauli,12433,Valid,Ureilite,0.0,1955-01-01,26.78333,82.71667,"[0, 0]"
L'Aigle,12434,Valid,L6,0.0,1803-01-01,48.76667,0.63333,"[0, 0]"
Cumulus Hills 04075,32531,Valid,Pallasite,0.0,2003-01-01,0.0,0.0,"[0, 0]"
Lakangaon,12435,Valid,Eucrite-mmict,0.0,1910-01-01,21.86667,76.03333,"[0, 0]"
Lalitpur,12451,Valid,L6,0.0,1887-01-01,24.45,78.56667,"[0, 0]"
Lancé,12455,Valid,CO3.5,0.0,1872-01-01,47.7,1.06667,"[0, 0]"
Lancon,12456,Valid,H6,0.0,1897-01-01,43.75,5.11667,"[0, 0]"
Långhalsen,12461,Valid,L6,0.0,1947-01-01,58.85,16.73333,"[0, 0]"
Lanxi,12464,Valid,L6,0.0,1986-01-01,46.24167,126.19611,"[0, 0]"
Lanzenkirchen,12465,Valid,L4,0.0,1925-01-01,47.75,16.23333,"[0, 0]"
Laochenzhen,12466,Valid,H5,0.0,1987-01-01,33.13333,115.16667,"[0, 0]"
Launton,12740,Valid,L6,0.0,1830-01-01,51.9,-1.11667,"[0, 0]"
Lavrentievka,12743,Valid,L6,0.0,1938-01-01,52.45,51.56667,"[0, 0]"
Le Pressoir,12748,Valid,H5,0.0,1845-01-01,47.16667,0.43333,"[0, 0]"
Le Teilleul,12749,Valid,Howardite,0.0,1845-01-01,48.53333,-0.86667,"[0, 0]"
Leedey,12755,Valid,L6,0.0,1943-01-01,35.88333,-99.33333,"[0, 0]"
Leeuwfontein,12756,Valid,L6,0.0,1912-01-01,-25.66667,28.36667,"[0, 0]"
Leighlinbridge,12759,Valid,L6,0.0,1999-01-01,52.66667,-6.96667,"[0, 0]"
Leighton,12760,Valid,H5,0.0,1907-01-01,34.58333,-87.5,"[0, 0]"
Leonovka,12765,Valid,L6,0.0,1900-01-01,52.26667,32.85,"[0, 0]"
Les Ormes,12769,Valid,L6,0.0,1857-01-01,48.35,3.25,"[0, 0]"
Lesves,12772,Valid,L6,0.0,1896-01-01,50.36667,4.73333,"[0, 0]"
Lichtenberg,14646,Valid,H6,0.0,1973-01-01,-26.15,26.18333,"[0, 0]"
Lillaverke,14650,Valid,H5,0.0,1930-01-01,56.65,15.86667,"[0, 0]"
Limerick,14652,Valid,H5,0.0,1813-01-01,52.56667,-8.78333,"[0, 0]"
Linum,14655,Valid,L6,0.0,1854-01-01,52.75,12.9,"[0, 0]"
Lishui,14659,Valid,L5,0.0,1978-01-01,31.63333,118.98333,"[0, 0]"
Lissa,14661,Valid,L6,0.0,1808-01-01,50.2,14.85,"[0, 0]"
Little Piney,14664,Valid,L5,0.0,1839-01-01,37.91667,-92.08333,"[0, 0]"
Lixna,14670,Valid,H4,0.0,1820-01-01,56.0,26.43333,"[0, 0]"
Lodran,14675,Valid,Lodranite,0.0,1868-01-01,29.53333,71.8,"[0, 0]"
Lohawat,14678,Valid,Howardite,0.0,1994-01-01,26.96556,72.62667,"[0, 0]"
Lorton,52843,Valid,L6,0.0,2010-01-01,38.70066,-77.21163,"[0, 0]"
Los Martinez,14708,Valid,L6,0.0,1894-01-01,38.0,-0.83333,"[0, 0]"
Lost City,14711,Valid,H5,0.0,1970-01-01,36.00833,-95.15,"[0, 0]"
Louisville,14716,Valid,L6,0.0,1977-01-01,38.25,-85.75,"[0, 0]"
Łowicz,14718,Valid,Mesosiderite-A3,0.0,1935-01-01,52.0,19.91667,"[0, 0]"
Lua,14721,Valid,L5,0.0,1926-01-01,24.95,75.15,"[0, 0]"
Lucé,14724,Valid,L6,0.0,1768-01-01,47.85,0.48333,"[0, 0]"
Lumpkin,14753,Valid,L6,0.0,1869-01-01,32.03333,-84.76667,"[0, 0]"
Lunan,14754,Valid,H6,0.0,1980-01-01,24.8,103.3,"[0, 0]"
Lundsgård,14755,Valid,L6,0.0,1889-01-01,56.21667,13.03333,"[0, 0]"
Luotolax,14756,Valid,Howardite,0.0,1813-01-01,61.2,27.7,"[0, 0]"
Luponnas,14757,Valid,H3-5,0.0,1753-01-01,46.21667,5.0,"[0, 0]"
Lusaka,14759,Valid,Unknown,0.0,1951-01-01,-7.21667,29.43333,"[0, 0]"
Mabwe-Khoywa,14764,Valid,L5,0.0,1937-01-01,19.0,97.0,"[0, 0]"
Macau,15370,Valid,H5,0.0,1836-01-01,-5.2,-36.66667,"[0, 0]"
Machinga,15371,Valid,L6,0.0,1981-01-01,-15.21222,35.24222,"[0, 0]"
Macibini,15372,Valid,Eucrite-pmict,0.0,1936-01-01,-28.83333,31.95,"[0, 0]"
Madhipura,15379,Valid,L,0.0,1950-01-01,25.91667,86.36667,"[0, 0]"
Madiun,15380,Valid,L6,0.0,1935-01-01,-7.75,111.53333,"[0, 0]"
Madrid,15382,Valid,L6,0.0,1896-01-01,40.41667,-3.71667,"[0, 0]"
Mafra,15383,Valid,L3-4,0.0,1941-01-01,-26.16667,-49.93333,"[0, 0]"
Magnesia,15386,Valid,"Iron, IAB-sHL",0.0,1899-01-01,37.86667,27.51667,"[0, 0]"
Magombedze,15387,Valid,H3-5,0.0,1990-01-01,-19.48333,31.65,"[0, 0]"
Mahadevpur,47361,Valid,H4/5,0.0,2007-01-01,27.66667,95.78333,"[0, 0]"
Maigatari-Danduma,30751,Valid,H5/6,0.0,2004-01-01,12.83333,9.38333,"[0, 0]"
Malaga,15393,Valid,OC,0.0,1933-01-01,32.21667,-104.0,"[0, 0]"
Malakal,15394,Valid,L5,0.0,1970-01-01,9.5,31.75,"[0, 0]"
Malampaka,15395,Valid,H,0.0,1930-01-01,-3.13333,33.51667,"[0, 0]"
Malotas,15397,Valid,H5,0.0,1931-01-01,-28.93333,-63.23333,"[0, 0]"
Malvern,15400,Valid,Eucrite-pmict,0.0,1933-01-01,-29.45,26.76667,"[0, 0]"
Mamra Springs,15401,Valid,L6,0.0,1927-01-01,45.21667,62.08333,"[0, 0]"
Manbhoom,15402,Valid,LL6,0.0,1863-01-01,23.05,86.7,"[0, 0]"
Manegaon,15403,Valid,Diogenite,0.0,1843-01-01,20.96667,76.1,"[0, 0]"
Mangwendi,15405,Valid,LL6,0.0,1934-01-01,-17.65,31.6,"[0, 0]"
Manych,15409,Valid,LL3.4,0.0,1951-01-01,45.81667,44.63333,"[0, 0]"
Mardan,15414,Valid,H5,0.0,1948-01-01,34.23333,72.08333,"[0, 0]"
Maria Linden,15418,Valid,L4,0.0,1925-01-01,0.0,0.0,"[0, 0]"
Mariaville,15419,Valid,Iron,0.0,1898-01-01,42.71667,-99.38333,"[0, 0]"
Maribo,48973,Valid,CM2,0.0,2009-01-01,54.76183,11.46745,"[0, 0]"
Maridi,15421,Valid,H6,0.0,1941-01-01,4.66667,29.25,"[0, 0]"
Marilia,15422,Valid,H4,0.0,1971-01-01,-22.25,-49.93333,"[0, 0]"
