name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Awere,4910,L4,134.0,Fell,1968-01-01,2.71667,32.83333,"[2.71667, 32.83333]"
Aztec,4913,L6,2830.0,Fell,1938-01-01,36.8,-108.0,"[36.8, -108.0]"
Bachmut,4917,L6,18000.0,Fell,1814-01-01,48.6,38.0,"[48.6, 38.0]"
Bahjoi,4922,"Iron, IAB-sLL",10322.0,Fell,1934-01-01,28.48333,78.5,"[28.48333, 78.5]"
Bald Mountain,4925,L4,3700.0,Fell,1929-01-01,35.96667,-82.48333,"[35.96667, -82.48333]"
Baldwyn,4926,L6,345.0,Fell,1922-01-01,34.5,-88.66667,"[34.5, -88.66667]"
Bali,4928,CV3,1000.0,Fell,1907-01-01,5.38333,16.38333,"[5.38333, 16.38333]"
Ban Rong Du,4934,"Iron, ungrouped",16700.0,Fell,1993-01-01,16.66667,101.18333,"[16.66667, 101.18333]"
Bandong,4935,LL6,11500.0,Fell,1871-01-01,-6.91667,107.6,"[-6.91667, 107.6]"
Bansur,4936,L6,15000.0,Fell,1892-01-01,27.7,76.33333,"[27.7, 76.33333]"
Banswal,4937,L5,14.0,Fell,1913-01-01,30.4,78.2,"[30.4, 78.2]"
Banten,4938,CM2,629.0,Fell,1933-01-01,-6.33333,106.0,"[-6.33333, 106.0]"
Barbotan,4942,H5,6400.0,Fell,1790-01-01,43.95,-0.05,"[43.95, -0.05]"
Barea,4946,Mesosiderite-A1,3200.0,Fell,1842-01-01,42.38333,-2.5,"[42.38333, -2.5]"
Barnaul,4947,H5,23.2,Fell,1904-01-01,52.73333,84.08333,"[52.73333, 84.08333]"
Barntrup,4948,LL4,17.0,Fell,1886-01-01,52.0,9.1,"[52.0, 9.1]"
Baroti,4949,L6,4500.0,Fell,1910-01-01,31.61667,76.8,"[31.61667, 76.8]"
Barwell,4954,L5,44000.0,Fell,1965-01-01,52.56528,-1.33972,"[52.56528, -1.33972]"
Bassikounou,44876,H5,29560.0,Fell,2006-01-01,15.78333,-5.9,"[15.78333, -5.9]"
Baszkówka,4957,L5,15500.0,Fell,1994-01-01,52.03333,20.93583,"[52.03333, 20.93583]"
Bath,4974,H4,21000.0,Fell,1892-01-01,45.41667,-98.31667,"[45.41667, -98.31667]"
